"club name","club category","about club","founded year","recruitment procedure","recruitment time","goal of club"
"Maaya","Cultural Festival/Techno-cultural Fest","Maaya is the annual intercollegiate techno-cultural fest of PES University, Electronic City Campus. The fest has a wide display of celebrity performances, concerts and plenty of events for everyone with great prizes. Maaya is ranked among the top 10 fest in Bangalore with 50 colleges participating and a footfall of over 9000 people last year. We have over 32 events with various categories such as cultural, technical, sports and theatre, to name a few. [cite: 6, 7, 8, 9]","September 10, 2019 [cite: 4]","During the Maaya event, forms will be published for interested candidates to apply. A virtual selection round will be conducted, and the final selection list will be sent via email. [cite: 11, 12]","The recruitment for Maaya starts during the odd semester. [cite: 13]","The goal of Maaya is to provide a dynamic platform for students to showcase their talents in cultural, technical, sports, and theatrical events while fostering creativity, collaboration, and excellence. It aims to bring together students from various colleges, enhancing intercollegiate interactions and delivering high-quality entertainment and competitive experiences. [cite: 15, 16]"
"Hashtag","Western Dance Crew","Hashtag is the western dance crew of PES University Electronic City Campus. We bring together all the student dancers interested in Hip-Hop and western dance. We represent the college at various inter-collegiate fests. [cite: 21, 22, 23]","October 25, 2019 [cite: 19]","During the Hashtag recruitment drive, forms will be published for interested candidates to apply. A virtual audition round will be conducted, and the final selection list will be sent via email. [cite: 25, 26]","The recruitment for Hashtag starts during the odd semester. [cite: 27]","The goal of Hashtag is to unite passionate student dancers interested in Hip-Hop and western dance, providing them with a platform to refine their skills, collaborate, and represent PES University, Electronic City Campus, at various intercollegiate festivals. The club aims to promote artistic expression, teamwork, and excellence in dance performances. [cite: 29, 30]"
"Mangobites","Theatre Club","Mangobites is the official theatre club of PES University Electronic City Campus. We are a team of passionate artists, who'll make you sit at the edge of your seat, give you laughing fits. One thing's for sure, when the spotlight is on us, we won't bore you to bits. [cite: 35, 36, 37]","October 31, 2019 [cite: 33]","During the Mangobites recruitment drive, forms will be published for interested candidates to apply. A virtual audition round will be conducted, and the final selection list will be sent via email. [cite: 39, 40]","The recruitment for Mangobites starts during the odd semester. [cite: 41]","The goal of Mangobites is to bring together passionate theatre artists and performers, creating engaging and entertaining performances that captivate audiences. The club aims to foster creativity, storytelling, and stagecraft while representing PES University, Electronic City Campus, in various theatre events and competitions. [cite: 43, 44]"
"Shaken not Stirred","Western Electric Music Club","Shaken not Stirred is the western electric music club of PES University Electronic City Campus. Calling ourselves Shaken not Stirred comes from the fact that our musical style roots from various backgrounds. We play around with funk, djent, hard-rock, progressive with gospel elements. Our main influences come from Tool, Dream Theater, vulfpeck, Snarky Puppy, Aristocrats, Porcupine Tree, etc.. [cite: 49, 50, 51, 52]","October 31, 2019 [cite: 47]","During the Shaken not Stirred recruitment drive, forms will be published for interested candidates to apply. A virtual audition round will be conducted, and the final selection list will be sent via email. [cite: 54, 55]","The recruitment for Shaken not Stirred starts during the odd semester. [cite: 56]","The goal of Shaken not Stirred is to bring together passionate musicians who explore diverse western electric music genres. The club aims to create unique, high-energy performances while representing PES University, Electronic City Campus, at various intercollegiate events and competitions. [cite: 58, 59]"
"Panache","Fashion Team","Panache is the official fashion team of PES University Electronic City Campus. We strive to bring together diverse and unique styles into a common platform to showcase individuality as well as heterogeneity in fashion. We also aim to keep everyone updated on the latest trends and give everyone an opportunity to showcase their creativity. [cite: 64, 65, 66]","October 31, 2019 [cite: 62]","During the Panache recruitment drive, forms will be published for interested candidates to apply. A virtual audition round will be conducted, and the final selection list will be sent via email. [cite: 68, 69]","The recruitment for Panache starts during the odd semester. [cite: 71]","The goal of Panache is to create a platform for students to express their individuality and creativity in fashion. The club aims to promote diverse styles, encourage innovation, and represent PES University, Electronic City Campus, at various intercollegiate fashion events and competitions. [cite: 73, 74]"
"The Pixelloid Club","Photography Team","The Pixelloid Club is the official photography team of PES University, Electronic City Campus. The club is responsible for capturing and documenting all major college events, including Maaya, Ingenius, and IEEE Kalpana. With a dedicated team of 23 photographers and videographers, the club ensures that every memorable moment is well preserved. [cite: 79, 80, 81]","October 31, 2019 [cite: 77]","During the Pixelloid Club recruitment drive, forms will be published for interested candidates to apply. A virtual selection round will be conducted, and the final selection list will be sent via email. [cite: 83, 84]","The recruitment for The Pixelloid Club starts during the odd semester. [cite: 86]","The goal of The Pixelloid Club is to capture and document the essence of college life through photography and videography. The club aims to enhance event experiences by preserving memories, promoting creativity in visual storytelling, and representing PES University, Electronic City Campus, through its high-quality media coverage. [cite: 88, 89]"
"inGenius","Hackathon/Technical Event","inGenius is the flagship intercollegiate hackathon of PES University, Electronic City Campus. It provides a platform for students to showcase their problem-solving skills, creativity, and technical expertise. Participants collaborate to develop innovative solutions to real-world challenges, competing against some of the brightest minds from various institutions. [cite: 94, 95, 96]","October 31, 2019 [cite: 92]","During the inGenius recruitment drive, forms will be published for interested candidates to apply. A virtual selection round will be conducted, and the final selection list will be sent via email. [cite: 98, 99]","The recruitment for inGenius starts during the odd semester. [cite: 101]","The goal of inGenius is to foster innovation, teamwork, and technical excellence among students. The event aims to encourage creative problem-solving, promote interdisciplinary collaboration, and provide participants with hands-on experience in tackling industry-relevant challenges. [cite: 103, 104]"
"Kludge","Electronic Design Challenge/Technical Event","Kludge is the premier intercollegiate electronic design challenge organized by the Electronics and Communication Department of PES University, Electronic City Campus. The event brings together aspiring engineers to design, innovate, and develop electronic solutions for real-world problems, fostering creativity and technical excellence in the field of electronics. [cite: 109, 110]","October 31, 2019 [cite: 107]","During the Kludge recruitment drive, forms will be published for interested candidates to apply. A virtual selection round will be conducted, and the final selection list will be sent via email. [cite: 112, 113]","The recruitment for Kludge starts during the odd semester. [cite: 115]","The goal of Kludge is to provide a platform for students to enhance their electronic design and problem-solving skills. The event encourages innovation, teamwork, and practical application of engineering knowledge, preparing participants for challenges in the electronics industry. [cite: 117, 118]"
"onCreate()","Mobile Technologies/Technical Club","onCreate() is a community-driven club at PES University, Electronic City Campus, dedicated to fostering collaboration among students passionate about mobile technologies. The club focuses on solving real-world problems using the latest smartphone technologies while encouraging innovation, teamwork, and skill development. [cite: 123, 124]","November 02, 2019 [cite: 121]","During the onCreate() recruitment drive, forms will be published for interested candidates to apply. A virtual selection round will be conducted, and the final selection list will be sent via email. [cite: 126, 127]","The recruitment for onCreate() starts during the odd semester. [cite: 129]","The goal of onCreate() is to accelerate the development of both interpersonal and technical skills in the domain of smartphone technologies. The club aims to contribute significantly to solving real-world problems and transforming innovative ideas into impactful mobile applications. [cite: 130, 131]"
"Techwarts","Technical Community/Specialized Technical Clubs","Techwarts is a community-driven technical organization under the Department of Computer Science and Engineering at PES University, Electronic City Campus. It consists of three specialized clubs: Pixel - Augmented Reality/Virtual Reality and Game Development Club, Predict This! - Machine Learning and Artificial Intelligence Club, We_The_Programmers - Competitive Coding Club. Techwarts was founded with the vision of creating a collaborative technical community where students can develop interest-based skills through peer-to-peer learning and project collaborations. [cite: 136, 137, 138, 139, 140]","November 02, 2019 [cite: 134]","During the Techwarts recruitment drive, forms will be published for interested candidates to apply. A virtual selection round will be conducted, and the final selection list will be sent via email. [cite: 142, 143]","The recruitment for Techwarts starts during the odd semester. [cite: 145]","The goal of Techwarts is to build a strong technical ecosystem where students with shared interests can learn, collaborate, and enhance their expertise in fields like competitive programming, artificial intelligence, game development, and emerging technologies. The club fosters a culture of innovation, teamwork, and continuous learning. [cite: 147, 148]"
